"Time","Region Code","Region","Consumer Price Index (All items) 2020 base","Annotation"
"Jan.1970","00000","Japan","30.3",""
"Feb.1970","00000","Japan","30.3",""
"Mar.1970","00000","Japan","30.6",""
"Apr.1970","00000","Japan","30.9",""
"May 1970","00000","Japan","30.8",""
"Jun.1970","00000","Japan","30.8",""
"Jul.1970","00000","Japan","30.8",""
"Aug.1970","00000","Japan","30.7",""
"Sep.1970","00000","Japan","31.2",""
"Oct.1970","00000","Japan","31.7",""
"Nov.1970","00000","Japan","31.7",""
"Dec.1970","00000","Japan","31.9",""
"Jan.1971","00000","Japan","32.2",""
"Feb.1971","00000","Japan","32.2",""
"Mar.1971","00000","Japan","32.3",""
"Apr.1971","00000","Japan","32.7",""
"May 1971","00000","Japan","32.8",""
"Jun.1971","00000","Japan","32.9",""
"Jul.1971","00000","Japan","32.9",""
"Aug.1971","00000","Japan","32.9",""
"Sep.1971","00000","Japan","33.7",""
"Oct.1971","00000","Japan","33.8",""
"Nov.1971","00000","Japan","33.5",""
"Dec.1971","00000","Japan","33.5",""
"Jan.1972","00000","Japan","33.5",""
"Feb.1972","00000","Japan","33.7",""
"Mar.1972","00000","Japan","34.0",""
"Apr.1972","00000","Japan","34.4",""
"May 1972","00000","Japan","34.5",""
"Jun.1972","00000","Japan","34.5",""
"Jul.1972","00000","Japan","34.5",""
"Aug.1972","00000","Japan","34.8",""
"Sep.1972","00000","Japan","35.0",""
"Oct.1972","00000","Japan","35.2",""
"Nov.1972","00000","Japan","35.1",""
"Dec.1972","00000","Japan","35.4",""
"Jan.1973","00000","Japan","35.7",""
"Feb.1973","00000","Japan","36.0",""
"Mar.1973","00000","Japan","36.9",""
"Apr.1973","00000","Japan","37.6",""
"May 1973","00000","Japan","38.2",""
"Jun.1973","00000","Japan","38.3",""
"Jul.1973","00000","Japan","38.6",""
"Aug.1973","00000","Japan","38.9",""
"Sep.1973","00000","Japan","40.0",""
"Oct.1973","00000","Japan","40.2",""
"Nov.1973","00000","Japan","40.5",""
"Dec.1973","00000","Japan","41.8",""
"Jan.1974","00000","Japan","43.6",""
"Feb.1974","00000","Japan","45.0",""
"Mar.1974","00000","Japan","45.3",""
"Apr.1974","00000","Japan","46.4",""
"May 1974","00000","Japan","46.6",""
"Jun.1974","00000","Japan","46.9",""
"Jul.1974","00000","Japan","47.8",""
"Aug.1974","00000","Japan","48.3",""
"Sep.1974","00000","Japan","49.0",""
"Oct.1974","00000","Japan","50.1",""
"Nov.1974","00000","Japan","50.5",""
"Dec.1974","00000","Japan","50.6",""
"Jan.1975","00000","Japan","51.2",""
"Feb.1975","00000","Japan","51.3",""
"Mar.1975","00000","Japan","51.7",""
"Apr.1975","00000","Japan","52.6",""
"May 1975","00000","Japan","52.9",""
"Jun.1975","00000","Japan","52.9",""
"Jul.1975","00000","Japan","53.1",""
"Aug.1975","00000","Japan","52.9",""
"Sep.1975","00000","Japan","54.1",""
"Oct.1975","00000","Japan","54.9",""
"Nov.1975","00000","Japan","54.7",""
"Dec.1975","00000","Japan","54.7",""
"Jan.1976","00000","Japan","55.7",""
"Feb.1976","00000","Japan","56.1",""
"Mar.1976","00000","Japan","56.3",""
"Apr.1976","00000","Japan","57.6",""
"May 1976","00000","Japan","57.8",""
"Jun.1976","00000","Japan","57.9",""
"Jul.1976","00000","Japan","58.3",""
"Aug.1976","00000","Japan","57.9",""
"Sep.1976","00000","Japan","59.4",""
"Oct.1976","00000","Japan","59.7",""
"Nov.1976","00000","Japan","59.7",""
"Dec.1976","00000","Japan","60.4",""
"Jan.1977","00000","Japan","60.9",""
"Feb.1977","00000","Japan","61.3",""
"Mar.1977","00000","Japan","61.6",""
"Apr.1977","00000","Japan","62.6",""
"May 1977","00000","Japan","63.2",""
"Jun.1977","00000","Japan","63.0",""
"Jul.1977","00000","Japan","62.8",""
"Aug.1977","00000","Japan","62.9",""
"Sep.1977","00000","Japan","63.9",""
"Oct.1977","00000","Japan","64.3",""
"Nov.1977","00000","Japan","63.6",""
"Dec.1977","00000","Japan","63.5",""
"Jan.1978","00000","Japan","63.7",""
"Feb.1978","00000","Japan","64.1",""
"Mar.1978","00000","Japan","64.6",""
"Apr.1978","00000","Japan","65.3",""
"May 1978","00000","Japan","65.7",""
"Jun.1978","00000","Japan","65.4",""
"Jul.1978","00000","Japan","65.6",""
"Aug.1978","00000","Japan","65.8",""
"Sep.1978","00000","Japan","66.5",""
"Oct.1978","00000","Japan","66.6",""
"Nov.1978","00000","Japan","66.0",""
"Dec.1978","00000","Japan","65.9",""
"Jan.1979","00000","Japan","66.0",""
"Feb.1979","00000","Japan","65.8",""
"Mar.1979","00000","Japan","66.4",""
"Apr.1979","00000","Japan","67.2",""
"May 1979","00000","Japan","67.8",""
"Jun.1979","00000","Japan","67.9",""
"Jul.1979","00000","Japan","68.5",""
"Aug.1979","00000","Japan","67.8",""
"Sep.1979","00000","Japan","68.7",""
"Oct.1979","00000","Japan","69.5",""
"Nov.1979","00000","Japan","69.2",""
"Dec.1979","00000","Japan","69.7",""
"Jan.1980","00000","Japan","70.3",""
"Feb.1980","00000","Japan","70.9",""
"Mar.1980","00000","Japan","71.3",""
"Apr.1980","00000","Japan","72.6",""
"May 1980","00000","Japan","73.2",""
"Jun.1980","00000","Japan","73.5",""
"Jul.1980","00000","Japan","73.6",""
"Aug.1980","00000","Japan","73.4",""
"Sep.1980","00000","Japan","74.6",""
"Oct.1980","00000","Japan","74.8",""
"Nov.1980","00000","Japan","74.9",""
"Dec.1980","00000","Japan","74.7",""
"Jan.1981","00000","Japan","75.5",""
"Feb.1981","00000","Japan","75.4",""
"Mar.1981","00000","Japan","75.6",""
"Apr.1981","00000","Japan","76.2",""
"May 1981","00000","Japan","76.9",""
"Jun.1981","00000","Japan","77.0",""
"Jul.1981","00000","Japan","76.8",""
"Aug.1981","00000","Japan","76.5",""
"Sep.1981","00000","Japan","77.6",""
"Oct.1981","00000","Japan","77.9",""
"Nov.1981","00000","Japan","77.8",""
"Dec.1981","00000","Japan","77.9",""
"Jan.1982","00000","Japan","77.9",""
"Feb.1982","00000","Japan","77.8",""
"Mar.1982","00000","Japan","77.9",""
"Apr.1982","00000","Japan","78.5",""
"May 1982","00000","Japan","78.8",""
"Jun.1982","00000","Japan","78.8",""
"Jul.1982","00000","Japan","78.3",""
"Aug.1982","00000","Japan","78.9",""
"Sep.1982","00000","Japan","80.1",""
"Oct.1982","00000","Japan","80.3",""
"Nov.1982","00000","Japan","79.6",""
"Dec.1982","00000","Japan","79.5",""
"Jan.1983","00000","Japan","79.6",""
"Feb.1983","00000","Japan","79.3",""
"Mar.1983","00000","Japan","79.7",""
"Apr.1983","00000","Japan","80.1",""
"May 1983","00000","Japan","80.9",""
"Jun.1983","00000","Japan","80.4",""
"Jul.1983","00000","Japan","80.1",""
"Aug.1983","00000","Japan","79.9",""
"Sep.1983","00000","Japan","80.8",""
"Oct.1983","00000","Japan","81.5",""
"Nov.1983","00000","Japan","81.1",""
"Dec.1983","00000","Japan","80.8",""
"Jan.1984","00000","Japan","81.1",""
"Feb.1984","00000","Japan","81.6",""
"Mar.1984","00000","Japan","81.7",""
"Apr.1984","00000","Japan","81.9",""
"May 1984","00000","Japan","82.5",""
"Jun.1984","00000","Japan","81.9",""
"Jul.1984","00000","Japan","82.1",""
"Aug.1984","00000","Japan","81.4",""
"Sep.1984","00000","Japan","82.7",""
"Oct.1984","00000","Japan","83.2",""
"Nov.1984","00000","Japan","82.8",""
"Dec.1984","00000","Japan","83.0",""
"Jan.1985","00000","Japan","83.2",""
"Feb.1985","00000","Japan","82.9",""
"Mar.1985","00000","Japan","83.2",""
"Apr.1985","00000","Japan","83.8",""
"May 1985","00000","Japan","83.9",""
"Jun.1985","00000","Japan","83.9",""
"Jul.1985","00000","Japan","84.1",""
"Aug.1985","00000","Japan","83.9",""
"Sep.1985","00000","Japan","84.0",""
"Oct.1985","00000","Japan","84.8",""
"Nov.1985","00000","Japan","84.1",""
"Dec.1985","00000","Japan","84.2",""
"Jan.1986","00000","Japan","84.5",""
"Feb.1986","00000","Japan","84.4",""
"Mar.1986","00000","Japan","84.3",""
"Apr.1986","00000","Japan","84.6",""
"May 1986","00000","Japan","84.8",""
"Jun.1986","00000","Japan","84.4",""
"Jul.1986","00000","Japan","84.2",""
"Aug.1986","00000","Japan","84.0",""
"Sep.1986","00000","Japan","84.4",""
"Oct.1986","00000","Japan","84.5",""
"Nov.1986","00000","Japan","84.1",""
"Dec.1986","00000","Japan","83.9",""
"Jan.1987","00000","Japan","83.6",""
"Feb.1987","00000","Japan","83.6",""
"Mar.1987","00000","Japan","83.9",""
"Apr.1987","00000","Japan","84.7",""
"May 1987","00000","Japan","84.8",""
"Jun.1987","00000","Japan","84.7",""
"Jul.1987","00000","Japan","84.3",""
"Aug.1987","00000","Japan","84.3",""
"Sep.1987","00000","Japan","85.1",""
"Oct.1987","00000","Japan","85.1",""
"Nov.1987","00000","Japan","84.7",""
"Dec.1987","00000","Japan","84.6",""
"Jan.1988","00000","Japan","84.3",""
"Feb.1988","00000","Japan","84.2",""
"Mar.1988","00000","Japan","84.5",""
"Apr.1988","00000","Japan","84.9",""
"May 1988","00000","Japan","85.0",""
"Jun.1988","00000","Japan","84.8",""
"Jul.1988","00000","Japan","84.7",""
"Aug.1988","00000","Japan","84.9",""
"Sep.1988","00000","Japan","85.6",""
"Oct.1988","00000","Japan","86.0",""
"Nov.1988","00000","Japan","85.7",""
"Dec.1988","00000","Japan","85.4",""
"Jan.1989","00000","Japan","85.3",""
"Feb.1989","00000","Japan","85.0",""
"Mar.1989","00000","Japan","85.4",""
"Apr.1989","00000","Japan","86.9",""
"May 1989","00000","Japan","87.4",""
"Jun.1989","00000","Japan","87.4",""
"Jul.1989","00000","Japan","87.2",""
"Aug.1989","00000","Japan","87.1",""
"Sep.1989","00000","Japan","87.9",""
"Oct.1989","00000","Japan","88.5",""
"Nov.1989","00000","Japan","87.6",""
"Dec.1989","00000","Japan","87.7",""
"Jan.1990","00000","Japan","88.1",""
"Feb.1990","00000","Japan","88.2",""
"Mar.1990","00000","Japan","88.5",""
"Apr.1990","00000","Japan","89.3",""
"May 1990","00000","Japan","89.7",""
"Jun.1990","00000","Japan","89.4",""
"Jul.1990","00000","Japan","89.2",""
"Aug.1990","00000","Japan","89.5",""
"Sep.1990","00000","Japan","90.2",""
"Oct.1990","00000","Japan","91.2",""
"Nov.1990","00000","Japan","91.1",""
"Dec.1990","00000","Japan","91.0",""
"Jan.1991","00000","Japan","91.6",""
"Feb.1991","00000","Japan","91.3",""
"Mar.1991","00000","Japan","91.8",""
"Apr.1991","00000","Japan","92.3",""
"May 1991","00000","Japan","92.8",""
"Jun.1991","00000","Japan","92.4",""
"Jul.1991","00000","Japan","92.3",""
"Aug.1991","00000","Japan","92.5",""
"Sep.1991","00000","Japan","92.7",""
"Oct.1991","00000","Japan","93.7",""
"Nov.1991","00000","Japan","93.8",""
"Dec.1991","00000","Japan","93.4",""
"Jan.1992","00000","Japan","93.2",""
"Feb.1992","00000","Japan","93.1",""
"Mar.1992","00000","Japan","93.6",""
"Apr.1992","00000","Japan","94.6",""
"May 1992","00000","Japan","94.6",""
"Jun.1992","00000","Japan","94.6",""
"Jul.1992","00000","Japan","93.8",""
"Aug.1992","00000","Japan","94.1",""
"Sep.1992","00000","Japan","94.6",""
"Oct.1992","00000","Japan","94.6",""
"Nov.1992","00000","Japan","94.5",""
"Dec.1992","00000","Japan","94.5",""
"Jan.1993","00000","Japan","94.4",""
"Feb.1993","00000","Japan","94.5",""
"Mar.1993","00000","Japan","94.7",""
"Apr.1993","00000","Japan","95.4",""
"May 1993","00000","Japan","95.4",""
"Jun.1993","00000","Japan","95.4",""
"Jul.1993","00000","Japan","95.6",""
"Aug.1993","00000","Japan","95.9",""
"Sep.1993","00000","Japan","96.0",""
"Oct.1993","00000","Japan","95.9",""
"Nov.1993","00000","Japan","95.4",""
"Dec.1993","00000","Japan","95.4",""
"Jan.1994","00000","Japan","95.5",""
"Feb.1994","00000","Japan","95.5",""
"Mar.1994","00000","Japan","96.0",""
"Apr.1994","00000","Japan","96.2",""
"May 1994","00000","Japan","96.3",""
"Jun.1994","00000","Japan","95.9",""
"Jul.1994","00000","Japan","95.4",""
"Aug.1994","00000","Japan","95.9",""
"Sep.1994","00000","Japan","96.2",""
"Oct.1994","00000","Japan","96.6",""
"Nov.1994","00000","Japan","96.3",""
"Dec.1994","00000","Japan","96.1",""
"Jan.1995","00000","Japan","96.1",""
"Feb.1995","00000","Japan","95.8",""
"Mar.1995","00000","Japan","95.7",""
"Apr.1995","00000","Japan","96.0",""
"May 1995","00000","Japan","96.2",""
"Jun.1995","00000","Japan","96.1",""
"Jul.1995","00000","Japan","95.6",""
"Aug.1995","00000","Japan","95.7",""
"Sep.1995","00000","Japan","96.3",""
"Oct.1995","00000","Japan","96.0",""
"Nov.1995","00000","Japan","95.7",""
"Dec.1995","00000","Japan","95.7",""
"Jan.1996","00000","Japan","95.6",""
"Feb.1996","00000","Japan","95.4",""
"Mar.1996","00000","Japan","95.6",""
"Apr.1996","00000","Japan","96.2",""
"May 1996","00000","Japan","96.4",""
"Jun.1996","00000","Japan","96.1",""
"Jul.1996","00000","Japan","96.0",""
"Aug.1996","00000","Japan","95.9",""
"Sep.1996","00000","Japan","96.3",""
"Oct.1996","00000","Japan","96.5",""
"Nov.1996","00000","Japan","96.2",""
"Dec.1996","00000","Japan","96.3",""
"Jan.1997","00000","Japan","96.2",""
"Feb.1997","00000","Japan","96.0",""
"Mar.1997","00000","Japan","96.1",""
"Apr.1997","00000","Japan","98.0",""
"May 1997","00000","Japan","98.2",""
"Jun.1997","00000","Japan","98.2",""
"Jul.1997","00000","Japan","97.8",""
"Aug.1997","00000","Japan","97.9",""
"Sep.1997","00000","Japan","98.6",""
"Oct.1997","00000","Japan","98.9",""
"Nov.1997","00000","Japan","98.2",""
"Dec.1997","00000","Japan","98.0",""
"Jan.1998","00000","Japan","97.9",""
"Feb.1998","00000","Japan","97.8",""
"Mar.1998","00000","Japan","98.2",""
"Apr.1998","00000","Japan","98.4",""
"May 1998","00000","Japan","98.7",""
"Jun.1998","00000","Japan","98.3",""
"Jul.1998","00000","Japan","97.7",""
"Aug.1998","00000","Japan","97.6",""
"Sep.1998","00000","Japan","98.4",""
"Oct.1998","00000","Japan","99.1",""
"Nov.1998","00000","Japan","99.0",""
"Dec.1998","00000","Japan","98.6",""
"Jan.1999","00000","Japan","98.1",""
"Feb.1999","00000","Japan","97.7",""
"Mar.1999","00000","Japan","97.8",""
"Apr.1999","00000","Japan","98.3",""
"May 1999","00000","Japan","98.3",""
"Jun.1999","00000","Japan","98.0",""
"Jul.1999","00000","Japan","97.6",""
"Aug.1999","00000","Japan","97.9",""
"Sep.1999","00000","Japan","98.2",""
"Oct.1999","00000","Japan","98.4",""
"Nov.1999","00000","Japan","97.8",""
"Dec.1999","00000","Japan","97.5",""
"Jan.2000","00000","Japan","97.4",""
"Feb.2000","00000","Japan","97.1",""
"Mar.2000","00000","Japan","97.3",""
"Apr.2000","00000","Japan","97.5",""
"May 2000","00000","Japan","97.6",""
"Jun.2000","00000","Japan","97.4",""
"Jul.2000","00000","Japan","97.1",""
"Aug.2000","00000","Japan","97.4",""
"Sep.2000","00000","Japan","97.3",""
"Oct.2000","00000","Japan","97.3",""
"Nov.2000","00000","Japan","97.0",""
"Dec.2000","00000","Japan","97.1",""
"Jan.2001","00000","Japan","97.1",""
"Feb.2001","00000","Japan","96.8",""
"Mar.2001","00000","Japan","96.7",""
"Apr.2001","00000","Japan","96.8",""
"May 2001","00000","Japan","96.9",""
"Jun.2001","00000","Japan","96.7",""
"Jul.2001","00000","Japan","96.4",""
"Aug.2001","00000","Japan","96.7",""
"Sep.2001","00000","Japan","96.6",""
"Oct.2001","00000","Japan","96.6",""
"Nov.2001","00000","Japan","96.1",""
"Dec.2001","00000","Japan","96.0",""
"Jan.2002","00000","Japan","95.8",""
"Feb.2002","00000","Japan","95.3",""
"Mar.2002","00000","Japan","95.5",""
"Apr.2002","00000","Japan","95.8",""
"May 2002","00000","Japan","96.1",""
"Jun.2002","00000","Japan","96.0",""
"Jul.2002","00000","Japan","95.6",""
"Aug.2002","00000","Japan","95.9",""
"Sep.2002","00000","Japan","95.9",""
"Oct.2002","00000","Japan","95.7",""
"Nov.2002","00000","Japan","95.7",""
"Dec.2002","00000","Japan","95.7",""
"Jan.2003","00000","Japan","95.4",""
"Feb.2003","00000","Japan","95.1",""
"Mar.2003","00000","Japan","95.4",""
"Apr.2003","00000","Japan","95.7",""
"May 2003","00000","Japan","95.9",""
"Jun.2003","00000","Japan","95.6",""
"Jul.2003","00000","Japan","95.4",""
"Aug.2003","00000","Japan","95.6",""
"Sep.2003","00000","Japan","95.7",""
"Oct.2003","00000","Japan","95.7",""
"Nov.2003","00000","Japan","95.2",""
"Dec.2003","00000","Japan","95.3",""
"Jan.2004","00000","Japan","95.1",""
"Feb.2004","00000","Japan","95.1",""
"Mar.2004","00000","Japan","95.3",""
"Apr.2004","00000","Japan","95.3",""
"May 2004","00000","Japan","95.4",""
"Jun.2004","00000","Japan","95.6",""
"Jul.2004","00000","Japan","95.3",""
"Aug.2004","00000","Japan","95.4",""
"Sep.2004","00000","Japan","95.7",""
"Oct.2004","00000","Japan","96.2",""
"Nov.2004","00000","Japan","96.0",""
"Dec.2004","00000","Japan","95.5",""
"Jan.2005","00000","Japan","95.3",""
"Feb.2005","00000","Japan","95.0",""
"Mar.2005","00000","Japan","95.3",""
"Apr.2005","00000","Japan","95.4",""
"May 2005","00000","Japan","95.5",""
"Jun.2005","00000","Japan","95.1",""
"Jul.2005","00000","Japan","95.0",""
"Aug.2005","00000","Japan","95.1",""
"Sep.2005","00000","Japan","95.4",""
"Oct.2005","00000","Japan","95.4",""
"Nov.2005","00000","Japan","95.0",""
"Dec.2005","00000","Japan","95.1",""
"Jan.2006","00000","Japan","95.2",""
"Feb.2006","00000","Japan","94.9",""
"Mar.2006","00000","Japan","95.1",""
"Apr.2006","00000","Japan","95.3",""
"May 2006","00000","Japan","95.6",""
"Jun.2006","00000","Japan","95.6",""
"Jul.2006","00000","Japan","95.3",""
"Aug.2006","00000","Japan","96.0",""
"Sep.2006","00000","Japan","96.0",""
"Oct.2006","00000","Japan","95.8",""
"Nov.2006","00000","Japan","95.3",""
"Dec.2006","00000","Japan","95.4",""
"Jan.2007","00000","Japan","95.2",""
"Feb.2007","00000","Japan","94.7",""
"Mar.2007","00000","Japan","95.0",""
"Apr.2007","00000","Japan","95.3",""
"May 2007","00000","Japan","95.6",""
"Jun.2007","00000","Japan","95.4",""
"Jul.2007","00000","Japan","95.3",""
"Aug.2007","00000","Japan","95.8",""
"Sep.2007","00000","Japan","95.8",""
"Oct.2007","00000","Japan","96.0",""
"Nov.2007","00000","Japan","95.9",""
"Dec.2007","00000","Japan","96.0",""
"Jan.2008","00000","Japan","95.9",""
"Feb.2008","00000","Japan","95.7",""
"Mar.2008","00000","Japan","96.1",""
"Apr.2008","00000","Japan","96.0",""
"May 2008","00000","Japan","96.8",""
"Jun.2008","00000","Japan","97.3",""
"Jul.2008","00000","Japan","97.5",""
"Aug.2008","00000","Japan","97.8",""
"Sep.2008","00000","Japan","97.8",""
"Oct.2008","00000","Japan","97.7",""
"Nov.2008","00000","Japan","96.8",""
"Dec.2008","00000","Japan","96.4",""
"Jan.2009","00000","Japan","95.9",""
"Feb.2009","00000","Japan","95.6",""
"Mar.2009","00000","Japan","95.9",""
"Apr.2009","00000","Japan","96.0",""
"May 2009","00000","Japan","95.8",""
"Jun.2009","00000","Japan","95.6",""
"Jul.2009","00000","Japan","95.3",""
"Aug.2009","00000","Japan","95.6",""
"Sep.2009","00000","Japan","95.6",""
"Oct.2009","00000","Japan","95.2",""
"Nov.2009","00000","Japan","95.0",""
"Dec.2009","00000","Japan","94.8",""
"Jan.2010","00000","Japan","94.9",""
"Feb.2010","00000","Japan","94.9",""
"Mar.2010","00000","Japan","95.1",""
"Apr.2010","00000","Japan","95.1",""
"May 2010","00000","Japan","95.1",""
"Jun.2010","00000","Japan","94.9",""
"Jul.2010","00000","Japan","94.4",""
"Aug.2010","00000","Japan","94.5",""
"Sep.2010","00000","Japan","94.7",""
"Oct.2010","00000","Japan","95.0",""
"Nov.2010","00000","Japan","94.7",""
"Dec.2010","00000","Japan","94.5",""
"Jan.2011","00000","Japan","94.4",""
"Feb.2011","00000","Japan","94.4",""
"Mar.2011","00000","Japan","94.6",""
"Apr.2011","00000","Japan","94.7",""
"May 2011","00000","Japan","94.7",""
"Jun.2011","00000","Japan","94.6",""
"Jul.2011","00000","Japan","94.6",""
"Aug.2011","00000","Japan","94.7",""
"Sep.2011","00000","Japan","94.7",""
"Oct.2011","00000","Japan","94.8",""
"Nov.2011","00000","Japan","94.2",""
"Dec.2011","00000","Japan","94.3",""
"Jan.2012","00000","Japan","94.5",""
"Feb.2012","00000","Japan","94.7",""
"Mar.2012","00000","Japan","95.1",""
"Apr.2012","00000","Japan","95.2",""
"May 2012","00000","Japan","94.9",""
"Jun.2012","00000","Japan","94.4",""
"Jul.2012","00000","Japan","94.1",""
"Aug.2012","00000","Japan","94.3",""
"Sep.2012","00000","Japan","94.4",""
"Oct.2012","00000","Japan","94.4",""
"Nov.2012","00000","Japan","94.1",""
"Dec.2012","00000","Japan","94.1",""
"Jan.2013","00000","Japan","94.2",""
"Feb.2013","00000","Japan","94.0",""
"Mar.2013","00000","Japan","94.2",""
"Apr.2013","00000","Japan","94.5",""
"May 2013","00000","Japan","94.6",""
"Jun.2013","00000","Japan","94.6",""
"Jul.2013","00000","Japan","94.8",""
"Aug.2013","00000","Japan","95.1",""
"Sep.2013","00000","Japan","95.4",""
"Oct.2013","00000","Japan","95.5",""
"Nov.2013","00000","Japan","95.5",""
"Dec.2013","00000","Japan","95.6",""
"Jan.2014","00000","Japan","95.5",""
"Feb.2014","00000","Japan","95.5",""
"Mar.2014","00000","Japan","95.7",""
"Apr.2014","00000","Japan","97.7",""
"May 2014","00000","Japan","98.1",""
"Jun.2014","00000","Japan","98.0",""
"Jul.2014","00000","Japan","98.1",""
"Aug.2014","00000","Japan","98.3",""
"Sep.2014","00000","Japan","98.5",""
"Oct.2014","00000","Japan","98.2",""
"Nov.2014","00000","Japan","97.9",""
"Dec.2014","00000","Japan","97.9",""
"Jan.2015","00000","Japan","97.8",""
"Feb.2015","00000","Japan","97.6",""
"Mar.2015","00000","Japan","97.9",""
"Apr.2015","00000","Japan","98.4",""
"May 2015","00000","Japan","98.7",""
"Jun.2015","00000","Japan","98.4",""
"Jul.2015","00000","Japan","98.3",""
"Aug.2015","00000","Japan","98.4",""
"Sep.2015","00000","Japan","98.5",""
"Oct.2015","00000","Japan","98.5",""
"Nov.2015","00000","Japan","98.1",""
"Dec.2015","00000","Japan","98.1",""
"Jan.2016","00000","Japan","97.7",""
"Feb.2016","00000","Japan","97.8",""
"Mar.2016","00000","Japan","97.9",""
"Apr.2016","00000","Japan","98.1",""
"May 2016","00000","Japan","98.2",""
"Jun.2016","00000","Japan","98.1",""
"Jul.2016","00000","Japan","97.9",""
"Aug.2016","00000","Japan","97.9",""
"Sep.2016","00000","Japan","98.0",""
"Oct.2016","00000","Japan","98.6",""
"Nov.2016","00000","Japan","98.6",""
"Dec.2016","00000","Japan","98.4",""
"Jan.2017","00000","Japan","98.2",""
"Feb.2017","00000","Japan","98.1",""
"Mar.2017","00000","Japan","98.1",""
"Apr.2017","00000","Japan","98.5",""
"May 2017","00000","Japan","98.6",""
"Jun.2017","00000","Japan","98.5",""
"Jul.2017","00000","Japan","98.3",""
"Aug.2017","00000","Japan","98.5",""
"Sep.2017","00000","Japan","98.8",""
"Oct.2017","00000","Japan","98.8",""
"Nov.2017","00000","Japan","99.1",""
"Dec.2017","00000","Japan","99.4",""
"Jan.2018","00000","Japan","99.5",""
"Feb.2018","00000","Japan","99.5",""
"Mar.2018","00000","Japan","99.2",""
"Apr.2018","00000","Japan","99.1",""
"May 2018","00000","Japan","99.3",""
"Jun.2018","00000","Japan","99.2",""
"Jul.2018","00000","Japan","99.2",""
"Aug.2018","00000","Japan","99.8",""
"Sep.2018","00000","Japan","99.9",""
"Oct.2018","00000","Japan","100.2",""
"Nov.2018","00000","Japan","100.0",""
"Dec.2018","00000","Japan","99.7",""
"Jan.2019","00000","Japan","99.7",""
"Feb.2019","00000","Japan","99.7",""
"Mar.2019","00000","Japan","99.7",""
"Apr.2019","00000","Japan","100.0",""
"May 2019","00000","Japan","100.0",""
"Jun.2019","00000","Japan","99.8",""
"Jul.2019","00000","Japan","99.8",""
"Aug.2019","00000","Japan","100.0",""
"Sep.2019","00000","Japan","100.1",""
"Oct.2019","00000","Japan","100.4",""
"Nov.2019","00000","Japan","100.5",""
"Dec.2019","00000","Japan","100.5",""
"Jan.2020","00000","Japan","100.5",""
"Feb.2020","00000","Japan","100.3",""
"Mar.2020","00000","Japan","100.3",""
"Apr.2020","00000","Japan","100.2",""
"May 2020","00000","Japan","100.1",""
"Jun.2020","00000","Japan","99.9",""
"Jul.2020","00000","Japan","100.0",""
"Aug.2020","00000","Japan","100.1",""
"Sep.2020","00000","Japan","99.9",""
"Oct.2020","00000","Japan","99.8",""
"Nov.2020","00000","Japan","99.5",""
"Dec.2020","00000","Japan","99.3",""
"Jan.2021","00000","Japan","99.8",""
"Feb.2021","00000","Japan","99.8",""
"Mar.2021","00000","Japan","99.9",""
"Apr.2021","00000","Japan","99.1",""
"May 2021","00000","Japan","99.4",""
"Jun.2021","00000","Japan","99.5",""
"Jul.2021","00000","Japan","99.7",""
"Aug.2021","00000","Japan","99.7",""
"Sep.2021","00000","Japan","100.1",""
"Oct.2021","00000","Japan","99.9",""
"Nov.2021","00000","Japan","100.1",""
"Dec.2021","00000","Japan","100.1",""
"Jan.2022","00000","Japan","100.3",""
"Feb.2022","00000","Japan","100.7",""
"Mar.2022","00000","Japan","101.1",""
"Apr.2022","00000","Japan","101.5",""
"May 2022","00000","Japan","101.8",""
"Jun.2022","00000","Japan","101.8",""
"Jul.2022","00000","Japan","102.3",""
"Aug.2022","00000","Japan","102.7",""
"Sep.2022","00000","Japan","103.1",""
"Oct.2022","00000","Japan","103.7",""
"Nov.2022","00000","Japan","103.9",""
"Dec.2022","00000","Japan","104.1",""
"Jan.2023","00000","Japan","104.7",""
"Feb.2023","00000","Japan","104.0",""
"Mar.2023","00000","Japan","104.4",""
"Apr.2023","00000","Japan","105.1",""
"May 2023","00000","Japan","105.1",""
"Jun.2023","00000","Japan","105.2",""
"Jul.2023","00000","Japan","105.7",""
"Aug.2023","00000","Japan","105.9",""
"Sep.2023","00000","Japan","106.2",""
"Oct.2023","00000","Japan","107.1",""
"Nov.2023","00000","Japan","106.9",""
"Dec.2023","00000","Japan","106.8",""
"Jan.2024","00000","Japan","106.9",""
"Feb.2024","00000","Japan","106.9",""
"Mar.2024","00000","Japan","107.2",""
"Apr.2024","00000","Japan","107.7",""
"May 2024","00000","Japan","108.1",""
"Jun.2024","00000","Japan","108.2",""
"Jul.2024","00000","Japan","108.6",""
"Aug.2024","00000","Japan","109.1",""
"Sep.2024","00000","Japan","108.9",""
"Oct.2024","00000","Japan","109.5",""
"Nov.2024","00000","Japan","110.0",""
"Dec.2024","00000","Japan","110.7",""
"Jan.2025","00000","Japan","111.2",""
"Feb.2025","00000","Japan","110.8",""
